epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1508.15,1.68761,2.04367,1.67412,0.36195,0.31445,0.27964,0.13244,1.83506,2.05046,1.87553,0.00019993,0.00019993,0.080207
2,3007.05,1.62344,1.79485,1.62005,0.49395,0.48325,0.45739,0.23459,1.5395,1.47385,1.58569,0.000399886,0.000399886,0.0604069
3,4490.66,1.58955,1.69812,1.58282,0.50066,0.53408,0.50511,0.26871,1.51045,1.29056,1.55475,0.000599669,0.000599669,0.0406067
4,5973.48,1.5726,1.65772,1.57482,0.57262,0.53611,0.5376,0.29327,1.47284,1.20994,1.51622,0.000799148,0.000799148,0.0208062
5,7452.18,1.54361,1.59585,1.55178,0.6061,0.56812,0.57345,0.31976,1.43306,1.14357,1.4822,0.000998194,0.000998194,0.00100523
6,8925.71,1.51611,1.53235,1.52663,0.62222,0.58142,0.58434,0.33091,1.40658,1.10254,1.46521,0.000997288,0.000997288,0.000997288
7,10400.7,1.49627,1.47908,1.50979,0.63881,0.60594,0.61136,0.34847,1.38716,1.06302,1.45055,0.000996097,0.000996097,0.000996097
8,11875.7,1.48478,1.44768,1.50012,0.63973,0.61953,0.62545,0.35954,1.37661,1.03474,1.43772,0.00099469,0.00099469,0.00099469
9,13349.9,1.47012,1.41829,1.48564,0.63673,0.63682,0.63979,0.3716,1.36029,1.01294,1.42473,0.000993068,0.000993068,0.000993068
10,14824,1.45572,1.38322,1.47296,0.6421,0.64308,0.64795,0.37829,1.35236,0.99448,1.41738,0.000991232,0.000991232,0.000991232
11,16298.7,1.44739,1.36441,1.46424,0.64929,0.64468,0.6565,0.38359,1.34835,0.98103,1.41377,0.000989183,0.000989183,0.000989183
12,17773.6,1.43673,1.34272,1.4556,0.65761,0.64485,0.66151,0.38696,1.34392,0.96854,1.40907,0.000986922,0.000986922,0.000986922
13,19247.9,1.43246,1.32616,1.4522,0.6586,0.65651,0.66769,0.39144,1.3396,0.95648,1.40389,0.000984449,0.000984449,0.000984449
14,20722.7,1.42723,1.30907,1.44617,0.6597,0.65892,0.67192,0.39593,1.33582,0.94599,1.40072,0.000981765,0.000981765,0.000981765
15,22196.2,1.41812,1.2974,1.43947,0.66275,0.65886,0.67574,0.39907,1.33288,0.93829,1.39766,0.000978873,0.000978873,0.000978873
16,23670.2,1.41276,1.28049,1.43447,0.66702,0.65745,0.67912,0.40103,1.33187,0.93119,1.39604,0.000975773,0.000975773,0.000975773
17,25143,1.40554,1.26889,1.43399,0.6722,0.65663,0.68251,0.40338,1.33132,0.92502,1.39528,0.000972466,0.000972466,0.000972466
18,26615.8,1.40017,1.25054,1.42244,0.67686,0.6609,0.68663,0.40613,1.33064,0.91923,1.39424,0.000968955,0.000968955,0.000968955
19,28089.4,1.39434,1.23662,1.41759,0.67823,0.66722,0.69047,0.4091,1.32953,0.91275,1.3925,0.000965239,0.000965239,0.000965239
20,29563.2,1.39127,1.22873,1.41364,0.68098,0.66771,0.69408,0.41168,1.32847,0.90673,1.39102,0.000961322,0.000961322,0.000961322
21,31037.4,1.3876,1.21839,1.41028,0.68522,0.66545,0.69709,0.41374,1.32779,0.9021,1.39001,0.000957205,0.000957205,0.000957205
22,32511.1,1.38255,1.21164,1.41198,0.69241,0.66486,0.70032,0.41641,1.32696,0.89719,1.38897,0.000952889,0.000952889,0.000952889
23,33984.7,1.37988,1.20339,1.4066,0.69575,0.66528,0.70331,0.41896,1.32604,0.89276,1.3878,0.000948377,0.000948377,0.000948377
24,35459,1.37857,1.18881,1.40336,0.70418,0.66456,0.70666,0.42146,1.32543,0.88845,1.38664,0.000943671,0.000943671,0.000943671
25,36934.6,1.37361,1.18193,1.39925,0.70685,0.66835,0.70955,0.42381,1.32431,0.88338,1.38535,0.000938772,0.000938772,0.000938772
26,38409.1,1.36888,1.17436,1.39815,0.7129,0.66652,0.7123,0.42619,1.32392,0.87905,1.38443,0.000933683,0.000933683,0.000933683
27,39880.3,1.36437,1.16674,1.39416,0.70978,0.67381,0.71512,0.4283,1.32273,0.87461,1.38264,0.000928405,0.000928405,0.000928405
