epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.309,1.57903,2.77518,1.44456,0.36653,0.41004,0.34839,0.172,1.66096,1.76653,1.44161,0.00333079,0.00333079,0.00333079
2,1034.49,1.54431,1.97638,1.39768,0.45059,0.44754,0.41466,0.21199,1.62233,1.66832,1.44391,0.00659815,0.00659815,0.00659815
3,1548.54,1.59287,1.86407,1.43385,0.39045,0.35973,0.33184,0.15801,1.76025,1.89973,1.56951,0.00979951,0.00979951,0.00979951
4,2067.14,1.61696,1.79365,1.45533,0.44837,0.48374,0.44485,0.22544,1.6097,1.58526,1.45911,0.009703,0.009703,0.009703
5,2585.91,1.56785,1.65937,1.42221,0.4805,0.51454,0.48825,0.26136,1.54916,1.4227,1.4106,0.009604,0.009604,0.009604
6,3098.05,1.53508,1.56897,1.39877,0.51008,0.55596,0.52045,0.2789,1.55183,1.33593,1.40725,0.009505,0.009505,0.009505
7,3608.48,1.51522,1.51836,1.38622,0.48258,0.57177,0.5384,0.29943,1.48831,1.33493,1.36923,0.009406,0.009406,0.009406
8,4122.85,1.49526,1.47109,1.37442,0.54112,0.57787,0.56293,0.31681,1.45967,1.22679,1.34232,0.009307,0.009307,0.009307
9,4640.24,1.48338,1.43962,1.36496,0.54791,0.61029,0.58472,0.33019,1.44743,1.18211,1.3292,0.009208,0.009208,0.009208
10,5154.81,1.46964,1.40358,1.35436,0.56346,0.59709,0.58808,0.336,1.4262,1.15916,1.31615,0.009109,0.009109,0.009109
11,5673.56,1.46042,1.38102,1.34878,0.5563,0.61842,0.59875,0.34625,1.42051,1.13106,1.31223,0.00901,0.00901,0.00901
12,6194.45,1.45571,1.37116,1.34726,0.56342,0.63893,0.61668,0.35762,1.40632,1.09713,1.30448,0.008911,0.008911,0.008911
13,6712.04,1.45085,1.35089,1.33986,0.56505,0.64514,0.61979,0.36149,1.39842,1.08967,1.29519,0.008812,0.008812,0.008812
14,7225.55,1.43777,1.32816,1.33345,0.57006,0.63375,0.61546,0.35943,1.39588,1.07757,1.29239,0.008713,0.008713,0.008713
15,7741.85,1.43074,1.31396,1.32822,0.57825,0.64962,0.62471,0.36745,1.38567,1.05936,1.2835,0.008614,0.008614,0.008614
16,8261.91,1.42701,1.29627,1.32426,0.57963,0.64892,0.63349,0.37546,1.37657,1.03835,1.27603,0.008515,0.008515,0.008515
17,8782.97,1.42598,1.28811,1.3217,0.58156,0.65002,0.63469,0.37751,1.37336,1.03534,1.27433,0.008416,0.008416,0.008416
18,9304.53,1.4221,1.28072,1.32048,0.57941,0.66532,0.63831,0.37954,1.36897,1.02257,1.27169,0.008317,0.008317,0.008317
